Column1,name,W_L_pct,W_L_pct/games,team,position,game_%,games,AB,R,H,doubles,triples,HR,RBI,walks,strike_outs,stolen_bases,caught_stealing_base,AVG,OBP,SLG,OPS
86," Peralta, D",0.506,0.4560,ARI,LF,0.901,146,560,75,164,25,5,30,87,48,124,4,0,0.293,0.352,0.516,0.868
98," Goldschmidt, P",0.506,0.4935,ARI,1B,0.975,158,593,95,172,35,5,33,83,90,173,7,4,0.29,0.389,0.533,0.922
160," Escobar, E",0.506,0.4716,ARI,3B,0.932,151,566,75,154,48,3,23,84,52,126,2,4,0.272,0.334,0.489,0.824
177," Jay, J",0.506,0.4467,ARI,RF,0.883,143,527,74,141,19,7,3,40,33,95,4,3,0.268,0.33,0.347,0.678
232," Marte, K",0.506,0.4779,ARI,2B,0.944,153,520,68,135,26,12,14,59,54,79,6,1,0.26,0.332,0.437,0.768
243," Pollock, A",0.506,0.3530,ARI,CF,0.698,113,413,61,106,21,5,21,65,31,100,13,2,0.257,0.316,0.484,0.8
368," Descalso, D",0.506,0.4310,ARI,3B,0.852,138,349,54,83,22,4,13,57,64,110,0,1,0.238,0.353,0.436,0.789
388," Ahmed, N",0.506,0.4779,ARI,SS,0.944,153,516,61,121,33,5,16,70,40,109,5,4,0.234,0.29,0.411,0.7
390," Greinke, Z",0.506,0.0937,ARI,P,0.185,30,64,6,15,4,0,0,5,3,16,3,0,0.234,0.269,0.297,0.566
411," Kivlehan, P",0.506,0.0281,ARI,RF,0.056,9,13,3,3,0,2,0,0,0,6,0,0,0.231,0.286,0.538,0.824
452," Lamb, J",0.506,0.1749,ARI,3B,0.346,56,207,34,46,8,0,6,31,26,65,1,2,0.222,0.307,0.348,0.655
462," Souza Jr., S",0.506,0.2249,ARI,RF,0.444,72,241,21,53,15,3,5,29,28,75,6,1,0.22,0.309,0.369,0.678
495," Vargas, I",0.506,0.0437,ARI,SS,0.086,14,19,2,4,0,0,1,4,1,4,1,0,0.211,0.25,0.368,0.618
510," Owings, C",0.506,0.3311,ARI,2B,0.654,106,281,34,58,15,0,4,22,24,75,11,4,0.206,0.272,0.302,0.574
524," Murphy, J",0.506,0.2717,ARI,C,0.537,87,208,19,42,9,0,9,24,11,71,0,0,0.202,0.244,0.375,0.619
537," Mathis, J",0.506,0.2155,ARI,C,0.426,69,195,15,39,9,1,1,20,20,66,0,0,0.2,0.272,0.272,0.544
543," Stewart, C",0.506,0.0250,ARI,C,0.049,8,15,3,3,0,0,0,3,1,1,0,0,0.2,0.235,0.2,0.435
553," Corbin, P",0.506,0.0968,ARI,P,0.191,31,61,1,12,1,0,0,5,2,25,0,0,0.197,0.222,0.213,0.435
566," Dyson, J",0.506,0.2093,ARI,CF,0.414,67,206,29,39,4,2,2,12,27,34,16,3,0.189,0.282,0.257,0.539
604," Brito, S",0.506,0.0750,ARI,RF,0.148,24,40,3,7,0,0,1,3,3,9,0,1,0.175,0.227,0.25,0.477
622," Marrero, D",0.506,0.1530,ARI,3B,0.302,49,78,11,13,1,1,0,7,6,23,3,0,0.167,0.224,0.205,0.429
636," Avila, A",0.506,0.2499,ARI,C,0.494,80,194,13,32,6,0,7,20,37,90,0,0,0.165,0.299,0.304,0.603
639," Walker, C",0.506,0.1156,ARI,1B,0.228,37,49,6,8,2,0,3,6,3,22,1,0,0.163,0.226,0.388,0.614
741," Ray, R",0.506,0.0750,ARI,P,0.148,24,39,2,3,1,0,0,2,0,24,0,0,0.077,0.075,0.103,0.178
